network_type,noise_level,mean_final_agreement,std_dev
fully_connected,0.0,1.0,0.0
fully_connected,0.03,0.958,0.032
fully_connected,0.06,0.921,0.037
fully_connected,0.09,0.88,0.039
fully_connected,0.12,0.797,0.038
fully_connected,0.15,0.795,0.055
fully_connected,0.2,0.699,0.074
fully_connected,0.25,0.597,0.049
fully_connected,0.3,0.54,0.073
fully_connected,0.35,0.524,0.046
grid,0.0,1.0,0.0
grid,0.03,0.92,0.052
grid,0.06,0.859,0.044
grid,0.09,0.756,0.059
grid,0.12,0.655,0.069
grid,0.15,0.544,0.054
grid,0.2,0.486,0.089
grid,0.25,0.399,0.067
grid,0.3,0.307,0.059
grid,0.35,0.268,0.016
small_world,0.0,1.0,0.0
small_world,0.03,0.891,0.045
small_world,0.06,0.839,0.049
small_world,0.09,0.805,0.066
small_world,0.12,0.631,0.108
small_world,0.15,0.579,0.079
small_world,0.2,0.453,0.057
small_world,0.25,0.431,0.067
small_world,0.3,0.354,0.045
small_world,0.35,0.314,0.049
