generation,mean_inventiveness,inventiveness_std,mean_success
0,0.5158,0.0251,0.0283
1,0.3258,0.0579,0.2176
2,0.1629,0.0636,0.4851
3,0.0813,0.0352,0.6025
4,0.0441,0.0132,0.6997
5,0.0365,0.0097,0.7251
6,0.0403,0.0055,0.717
7,0.0343,0.007,0.7093
8,0.0342,0.0061,0.6916
9,0.0313,0.0046,0.7169
10,0.0301,0.0037,0.7133
11,0.0332,0.0034,0.7563
12,0.0333,0.0072,0.7249
13,0.0298,0.002,0.7099
14,0.0345,0.0063,0.7247
15,0.0334,0.0065,0.708
16,0.0338,0.0036,0.7217
17,0.0289,0.0029,0.7266
18,0.0298,0.0041,0.749
19,0.0292,0.0044,0.7482
20,0.0317,0.0033,0.7276
21,0.0296,0.0044,0.7359
22,0.0331,0.0068,0.7524
23,0.0325,0.0068,0.6753
24,0.0346,0.0055,0.7335
25,0.0328,0.0037,0.6909
26,0.0352,0.0061,0.7135
27,0.034,0.0037,0.7137
28,0.0313,0.004,0.7771
29,0.0311,0.0047,0.702
30,0.0333,0.0028,0.7287
31,0.0354,0.0044,0.7091
32,0.0296,0.0056,0.741
33,0.0316,0.0051,0.7069
34,0.033,0.0036,0.7715
35,0.0325,0.0052,0.7072
36,0.0322,0.0054,0.7544
37,0.0303,0.0053,0.709
38,0.029,0.007,0.7199
39,0.0323,0.0073,0.696
40,0.0314,0.0025,0.7283
41,0.0326,0.0043,0.7528
42,0.0326,0.0025,0.7187
43,0.0293,0.0029,0.751
44,0.028,0.0031,0.7566
45,0.0335,0.006,0.7446
46,0.0306,0.0047,0.7384
47,0.0304,0.0037,0.7322
48,0.0318,0.0043,0.7319
49,0.0338,0.0041,0.7313
